Dates,S_Sup,S_Use
2012/3/16,3286,3011
2012/3/19,3286,3011
2012/3/20,3286,3011
2012/3/21,3286,3011
2012/3/22,3286,3011
2012/3/23,3286,3011
2012/3/26,3286,3011
2012/3/27,3286,3011
2012/3/28,3286,3011
2012/3/29,3286,3011
2012/3/30,3286,3011
2012/4/2,3286,3011
2012/4/3,3286,3011
2012/4/4,3286,3011
2012/4/5,3286,3011
2012/4/6,3286,3011
2012/4/9,3286,3011
2012/4/10,3286,3011
2012/4/11,3286,3011
2012/4/12,3286,3011
2012/4/13,3286,3011
2012/4/16,3286,3011
2012/4/17,3286,3011
2012/4/18,3286,3011
2012/4/19,3286,3011
2012/4/20,3286,3011
2012/4/23,3286,3011
2012/4/24,3286,3011
2012/4/25,3286,3011
2012/4/26,3286,3011
2012/4/27,3286,3011
2012/4/30,3286,3036
2012/5/1,3286,3036
2012/5/2,3286,3036
2012/5/3,3286,3036
2012/5/4,3286,3036
2012/5/7,3286,3036
2012/5/8,3286,3036
2012/5/9,3286,3036
2012/5/10,3286,3036
2012/5/11,3286,3036
2012/5/14,3286,3036
2012/5/15,3286,3036
2012/5/16,3286,3036
2012/5/17,3286,3036
2012/5/18,3286,3036
2012/5/21,3286,3036
2012/5/22,3286,3036
2012/5/23,3286,3036
2012/5/24,3286,3036
2012/5/25,3286,3036
2012/5/28,3286,3036
2012/5/29,3286,3036
2012/5/30,3286,3036
2012/5/31,3430,3285
2012/6/1,3430,3285
2012/6/4,3430,3285
2012/6/5,3430,3285
2012/6/6,3430,3285
2012/6/7,3430,3285
2012/6/8,3430,3285
2012/6/11,3430,3285
2012/6/12,3430,3285
2012/6/13,3430,3285
2012/6/14,3430,3285
2012/6/15,3430,3285
2012/6/18,3430,3285
2012/6/19,3430,3285
2012/6/20,3430,3285
2012/6/21,3430,3285
2012/6/22,3430,3285
2012/6/25,3430,3285
2012/6/26,3430,3285
2012/6/27,3430,3285
2012/6/28,3430,3285
2012/6/29,3430,3285
2012/7/2,3395,3255
2012/7/3,3395,3255
2012/7/4,3395,3255
2012/7/5,3395,3255
2012/7/6,3395,3255
2012/7/9,3395,3255
2012/7/10,3395,3255
2012/7/11,3395,3255
2012/7/12,3395,3255
2012/7/13,3395,3255
2012/7/16,3395,3255
2012/7/17,3395,3255
2012/7/18,3395,3255
2012/7/19,3395,3255
2012/7/20,3395,3255
2012/7/23,3395,3255
2012/7/24,3395,3255
2012/7/25,3395,3255
2012/7/26,3395,3255
2012/7/27,3395,3255
2012/7/30,3395,3255
2012/7/31,3235,3105
2012/8/1,3235,3105
2012/8/2,3235,3105
2012/8/3,3235,3105
2012/8/6,3235,3105
2012/8/7,3235,3105
2012/8/8,3235,3105
2012/8/9,3235,3105
2012/8/10,3235,3105
2012/8/13,3235,3105
2012/8/14,3235,3105
2012/8/15,3235,3105
2012/8/16,3235,3105
2012/8/17,3235,3105
2012/8/20,3235,3105
2012/8/21,3235,3105
2012/8/22,3235,3105
2012/8/23,3235,3105
2012/8/24,3235,3105
2012/8/27,3235,3105
2012/8/28,3235,3105
2012/8/29,3235,3105
2012/8/30,3235,3105
2012/8/31,2857,2742
2012/9/3,2857,2742
2012/9/4,2857,2742
2012/9/5,2857,2742
2012/9/6,2857,2742
2012/9/7,2857,2742
2012/9/10,2857,2742
2012/9/11,2857,2742
2012/9/12,2857,2742
2012/9/13,2857,2742
2012/9/14,2857,2742
2012/9/17,2857,2742
2012/9/18,2857,2742
2012/9/19,2857,2742
2012/9/20,2857,2742
2012/9/21,2857,2742
2012/9/24,2857,2742
2012/9/25,2857,2742
2012/9/26,2857,2742
2012/9/27,2857,2742
2012/9/28,2857,2742
2012/10/1,2785,2670
2012/10/2,2785,2670
2012/10/3,2785,2670
2012/10/4,2785,2670
2012/10/5,2785,2670
2012/10/8,2785,2670
2012/10/9,2785,2670
2012/10/10,2785,2670
2012/10/11,2785,2670
2012/10/12,2785,2670
2012/10/15,2785,2670
2012/10/16,2785,2670
