	S 1 Comdty	C 1 Comdty	W 1 Comdty
	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST
2019/8/21	860.5	362.5	462.5
2019/8/22	856	363.25	467.25
2019/8/23	843.25	359.75	475.25
2019/8/26	853.75	358.5	473
2019/8/27	846.25	357	473.75
2019/8/28	852.75	362.75	472.25
2019/8/29	856.25	359.75	469.75
2019/8/30	857	358	451.25
2019/9/2	857	358	451.25
2019/9/3	856.5	349.75	447.25
2019/9/4	862.5	346	456.25
2019/9/5	849.75	346.5	464
2019/9/6	845	342.5	460.25
2019/9/9	845	340.75	474.5
2019/9/10	859.25	348.5	484.5
2019/9/11	854	348.25	477.5
2019/9/12	883	354.5	485.75
2019/9/13	884.75	355.5	485.75
2019/9/16	900	374	488.75
2019/9/17	893.75	368	484.25
2019/9/18	888.75	371.25	489.5
2019/9/19	893	372.75	488
2019/9/20	882.75	370.75	484.25
2019/9/23	895.75	373.5	486
